Territorial Authority,Population,First Dose,Second Dose,% First Dose,% Second Dose
Ashburton District,"27,424","22,274","12,683",81%,46%
Auckland,"1,383,804","1,199,992","888,601",87%,64%
Buller District,"8,272","5,962","4,566",72%,55%
Carterton District,"8,259","6,684","5,020",81%,61%
Central Hawke's Bay District,"11,838","9,266","6,546",78%,55%
Central Otago District,"19,636","16,790","13,052",86%,66%
Chatham Islands Territory,180,203,158,113%,88%
Christchurch City,"322,364","271,704","173,154",84%,54%
Clutha District,"14,979","11,299","7,820",75%,52%
Dunedin City,"110,495","98,290","77,066",89%,70%
Far North District,"56,422","38,106","26,881",68%,48%
Gisborne District,"40,638","28,973","21,921",71%,54%
Gore District,"10,754","8,099","6,165",75%,57%
Grey District,"11,412","8,314","5,710",73%,50%
Hamilton City,"137,530","116,114","87,740",84%,64%
Hastings District,"69,386","54,608","40,174",79%,58%
Hauraki District,"17,324","12,629","8,346",73%,48%
Horowhenua District,"28,824","21,891","16,114",76%,56%
Hurunui District,"10,818","8,529","5,560",79%,51%
Invercargill City,"45,988","36,081","26,742",78%,58%
Kaikoura District,"3,473","2,670","2,143",77%,62%
Kaipara District,"20,198","14,259","9,769",71%,48%
Kapiti Coast District,"47,238","39,501","30,062",84%,64%
Kawerau District,"6,115","3,711","2,464",61%,40%
Lower Hutt City,"90,423","75,047","51,018",83%,56%
Mackenzie District,"4,141","3,194","1,908",77%,46%
Manawatu District,"25,555","20,818","15,391",81%,60%
Marlborough District,"41,136","35,052","28,293",85%,69%
Masterton District,"22,673","17,581","13,306",78%,59%
Matamata-Piako District,"29,220","22,982","15,490",79%,53%
Napier City,"54,392","42,950","31,888",79%,59%
Nelson City,"44,843","36,782","29,728",82%,66%
New Plymouth District,"68,211","53,032","35,655",78%,52%
Opotiki District,"7,289","4,797","3,467",66%,48%
Otorohanga District,"7,960","5,707","3,722",72%,47%
Palmerston North City,"70,542","58,321","41,284",83%,59%
Porirua City,"47,711","38,708","27,408",81%,57%
Queenstown-Lakes District,"35,862","33,228","22,460",93%,63%
Rangitikei District,"12,700","9,639","6,594",76%,52%
Rotorua District,"58,120","43,041","30,367",74%,52%
Ruapehu District,"9,938","6,714","4,453",68%,45%
Selwyn District,"53,318","47,991","29,257",90%,55%
South Taranaki District,"20,389","14,730","10,239",72%,50%
South Waikato District,"19,634","13,590","8,918",69%,45%
South Wairarapa District,"9,607","8,066","5,915",84%,62%
Southland District,"25,076","18,719","12,388",75%,49%
Stratford District,"7,523","5,450","3,994",72%,53%
Tararua District,"15,008","11,057","7,987",74%,53%
Tasman District,"45,613","36,095","28,628",79%,63%
Taupo District,"32,192","24,021","16,762",75%,52%
Tauranga City,"121,638","98,365","64,445",81%,53%
Thames-Coromandel District,"26,266","20,885","16,313",80%,62%
Timaru District,"41,101","33,464","25,635",81%,62%
Unknown,"127,349","96,512","69,799",76%,55%
Upper Hutt City,"36,898","30,986","20,616",84%,56%
Waikato District,"63,219","50,853","36,678",80%,58%
Waimakariri District,"52,773","42,371","27,368",80%,52%
Waimate District,"6,937","5,306","3,657",76%,53%
Waipa District,"46,643","38,862","27,839",83%,60%
Wairoa District,"6,304","4,385","3,656",70%,58%
Waitaki District,"19,323","15,271","11,198",79%,58%
Waitomo District,"7,762","5,521","3,982",71%,51%
Wellington City,"178,565","163,113","107,127",91%,60%
Western Bay of Plenty District,"45,702","36,187","24,311",79%,53%
Westland District,"7,100","5,530","3,928",78%,55%
Whakatane District,"30,432","20,427","14,456",67%,48%
Whanganui District,"39,902","29,583","23,246",74%,58%
Whangarei District,"78,696","59,834","45,326",76%,58%
Grand Total,"4,209,057","3,480,716","2,494,557",83%,59%
