Territorial Authority,Population,Partially or Fully Vaccinated,Fully Vaccinated,Eligible for booster,Boosted,% Partially or Fully Vaccinated,% Fully Vaccinated,% Of Eligible Boosted
Ashburton District,"27,424","25,421","25,027","18,571","9,397",93%,91%,51%
Auckland,"1,383,806","1,246,564","1,229,207","1,002,923","527,760",90%,89%,53%
Buller District,"8,272","7,240","7,069","5,188","3,306",88%,85%,64%
Carterton District,"8,259","7,613","7,466","5,710","3,605",92%,90%,63%
Central Hawke's Bay District,"11,838","10,746","10,468","7,745","4,242",91%,88%,55%
Central Otago District,"19,636","18,053","17,810","14,510","9,187",92%,91%,63%
Chatham Islands Territory,180,151,150,135,84,84%,83%,62%
Christchurch City,"322,365","298,345","294,227","226,564","121,750",93%,91%,54%
Clutha District,"14,979","13,634","13,353","9,966","5,312",91%,89%,53%
Dunedin City,"110,495","103,574","102,378","84,304","52,827",94%,93%,63%
Far North District,"56,422","46,731","44,873","32,320","17,818",83%,80%,55%
Gisborne District,"40,638","36,121","34,983","24,571","14,245",89%,86%,58%
Gore District,"10,754","9,680","9,494","7,092","4,254",90%,88%,60%
Grey District,"11,412","10,296","10,038","7,493","4,861",90%,88%,65%
Hamilton City,"137,530","125,117","122,758","95,654","50,351",91%,89%,53%
Hastings District,"69,386","62,738","61,188","45,041","26,007",90%,88%,58%
Hauraki District,"17,324","14,833","14,456","10,795","5,683",86%,83%,53%
Horowhenua District,"28,824","25,857","25,242","18,819","11,603",90%,88%,62%
Hurunui District,"10,818","9,624","9,447","7,252","3,584",89%,87%,49%
Invercargill City,"45,988","42,207","41,366","31,028","18,546",92%,90%,60%
Kaikoura District,"3,473","3,046","2,996","2,406","1,590",88%,86%,66%
Kaipara District,"20,198","16,556","16,052","11,982","6,137",82%,79%,51%
Kapiti Coast District,"47,238","43,102","42,470","34,228","21,794",91%,90%,64%
Kawerau District,"6,115","5,161","4,907","3,180","1,730",84%,80%,54%
Lower Hutt City,"90,426","83,885","82,507","63,928","35,014",93%,91%,55%
Mackenzie District,"4,141","3,658","3,607","2,790","1,502",88%,87%,54%
Manawatu District,"25,555","23,469","23,019","17,262","9,446",92%,90%,55%
Marlborough District,"41,136","37,355","36,682","28,959","19,557",91%,89%,68%
Masterton District,"22,673","20,765","20,308","14,964","9,163",92%,90%,61%
Matamata-Piako District,"29,220","26,306","25,712","19,426","9,897",90%,88%,51%
Napier City,"54,392","49,324","48,235","36,482","21,304",91%,89%,58%
Nelson City,"44,843","40,553","39,883","31,144","20,857",90%,89%,67%
New Plymouth District,"68,211","61,308","60,126","44,348","23,567",90%,88%,53%
Opotiki District,"7,289","5,997","5,681","3,999","2,248",82%,78%,56%
Otorohanga District,"7,960","6,959","6,771","4,840","2,197",87%,85%,45%
Palmerston North City,"70,542","65,171","64,079","48,762","28,218",92%,91%,58%
Porirua City,"47,711","44,347","43,506","32,389","17,758",93%,91%,55%
Queenstown-Lakes District,"35,862","31,265","30,944","25,186","12,967",87%,86%,51%
Rangitikei District,"12,700","11,296","11,024","8,333","4,380",89%,87%,53%
Rotorua District,"58,120","51,579","50,136","35,800","21,032",89%,86%,59%
Ruapehu District,"9,938","8,365","8,007","5,659","3,032",84%,81%,54%
Selwyn District,"53,318",Masked,"50,314","38,349","19,414",>95%,94%,51%
South Taranaki District,"20,389","18,136","17,679","12,507","6,499",89%,87%,52%
South Waikato District,"19,634","17,176","16,620","11,409","5,850",87%,85%,51%
South Wairarapa District,"9,607","8,858","8,714","6,920","4,192",92%,91%,61%
Southland District,"25,076","22,525","22,084","16,139","8,294",90%,88%,51%
Stratford District,"7,523","6,641","6,487","4,651","2,763",88%,86%,59%
Tararua District,"15,008","13,332","12,967","9,446","5,437",89%,86%,58%
Tasman District,"45,613","39,876","39,071","30,345","19,788",87%,86%,65%
Taupo District,"32,192","28,379","27,709","20,486","11,979",88%,86%,58%
Tauranga City,"121,638","108,672","106,514","80,082","44,839",89%,88%,56%
Thames-Coromandel District,"26,267","22,766","22,280","18,166","11,026",87%,85%,61%
Timaru District,"41,101","37,707","37,087","29,202","18,352",92%,90%,63%
Unknown,"127,337",Masked,Masked,"272,082","102,663",>95%,>95%,38%
Upper Hutt City,"36,900","34,622","34,147","26,319","14,876",94%,93%,57%
Waikato District,"63,219","56,999","55,820","42,174","22,108",90%,88%,52%
Waimakariri District,"52,773","48,385","47,682","35,675","19,962",92%,90%,56%
Waimate District,"6,937","6,250","6,138","4,656","2,634",90%,88%,57%
Waipa District,"46,646","42,618","41,939","32,823","17,649",91%,90%,54%
Wairoa District,"6,304","5,393","5,195","3,808","2,258",86%,82%,59%
Waitaki District,"19,323","17,494","17,145","13,343","7,724",91%,89%,58%
Waitomo District,"7,762","6,768","6,523","4,644","2,343",87%,84%,50%
Wellington City,"178,565","166,726","165,455","137,436","73,102",93%,93%,53%
Western Bay of Plenty District,"45,702","39,430","38,519","29,192","16,339",86%,84%,56%
Westland District,"7,100","6,401","6,272","4,753","2,599",90%,88%,55%
Whakatane District,"30,432","26,040","25,143","17,691","10,268",86%,83%,58%
Whanganui District,"39,902","35,303","34,444","25,687","16,314",88%,86%,64%
Whangarei District,"78,696","68,434","66,710","50,423","29,627",87%,85%,59%
