"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","64417",">950",">950"
"1","Far North District","Northland","50286","48223","58584","858","823"
"2","Whangarei District","Northland","73560","71572","81023","908","883"
"3","Kaipara District","Northland","18028","17408","21184","851","822"
"11","Thames-Coromandel District","Waikato","24672","24111","27414","900","880"
"12","Hauraki District","Counties Manukau","729","713","796","916","896"
"12","Hauraki District","Waikato","15043","14630","17126","878","854"
"13","Waikato District","Counties Manukau","masked","16596","17694",">950","938"
"13","Waikato District","Waikato","44863","43642","48203","931","905"
"15","Matamata-Piako District","Waikato","27919","27252","29964","932","909"
"16","Hamilton City","Waikato","masked","masked","139781",">950",">950"
"17","Waipa District","Waikato","45581","44727","48064","948","931"
"18","Otorohanga District","Waikato","7318","7099","8102","903","876"
"19","South Waikato District","Waikato","18108","17475","20022","904","873"
"20","Waitomo District","Waikato","7180","6893","7905","908","872"
"21","Taupo District","Lakes","30564","29725","33069","924","899"
"22","Western Bay of Plenty District","Bay of Plenty","43987","42862","47166","933","909"
"23","Tauranga City","Bay of Plenty","masked","116814","125198",">950","933"
"24","Rotorua District","Lakes","55394","53720","59371","933","905"
"25","Whakatane District","Bay of Plenty","27388","26317","30868","887","853"
"26","Kawerau District","Bay of Plenty","5486","5197","6260","876","830"
"27","Opotiki District","Bay of Plenty","6658","6311","7521","885","839"
"28","Gisborne District","Tairawhiti","38305","37045","41303","927","897"
"29","Wairoa District","Hawke's Bay","5894","5646","6625","890","852"
"30","Hastings District","Hawke's Bay","masked","67059","70876",">950","946"
"31","Napier City","Hawke's Bay","52334","51137","55083","950","928"
"32","Central Hawke's Bay District","Hawke's Bay","11591","11277","12318","941","915"
"33","New Plymouth District","Taranaki","65978","64350","70120","941","918"
"34","Stratford District","Taranaki","7073","6890","7835","903","879"
"35","South Taranaki District","Taranaki","20231","19641","21953","922","895"
"36","Ruapehu District","Waikato","5796","5524","6677","868","827"
"36","Ruapehu District","Whanganui","3041","2933","3398","895","863"
"37","Whanganui District","Whanganui","37305","36246","40672","917","891"
"38","Rangitikei District","Whanganui","11832","11528","12843","921","898"
"39","Manawatu District","MidCentral","masked","24614","26442",">950","931"
"40","Palmerston North City","MidCentral","masked","masked","71035",">950",">950"
"41","Tararua District","MidCentral","14049","13608","15270","920","891"
"42","Horowhenua District","MidCentral","27728","26961","29797","931","905"
"43","Kapiti Coast District","Capital and Coast","masked","37770","40144",">950","941"
"43","Kapiti Coast District","MidCentral","7452","7242","8075","923","897"
"44","Porirua City","Capital and Coast","masked","45834","48281",">950","949"
"45","Upper Hutt City","Hutt Valley","masked","masked","37644",">950",">950"
"46","Lower Hutt City","Hutt Valley","masked","masked","90658",">950",">950"
"47","Wellington City","Capital and Coast","masked","masked","178087",">950",">950"
"48","Masterton District","Wairarapa","22017","21503","23255","947","925"
"49","Carterton District","Wairarapa","8056","7890","8536","944","924"
"50","South Wairarapa District","Wairarapa","masked","9351","9943",">950","940"
"51","Tasman District","Nelson Marlborough","44042","42975","47467","928","905"
"52","Nelson City","Nelson Marlborough","masked","42730","45479",">950","940"
"53","Marlborough District","Nelson Marlborough","masked","masked","41822",">950",">950"
"54","Kaikoura District","Canterbury","3179","3129","3513","905","891"
"55","Buller District","West Coast","7728","7542","8656","893","871"
"56","Grey District","West Coast","10793","10502","11659","926","901"
"57","Westland District","West Coast","6725","6585","7181","936","917"
"58","Hurunui District","Canterbury","10363","10142","11209","925","905"
"59","Waimakariri District","Canterbury","51692","50812","54990","940","924"
"60","Christchurch City","Canterbury","masked","masked","327770",">950",">950"
"62","Selwyn District","Canterbury","masked","masked","57746",">950",">950"
"63","Ashburton District","Canterbury","masked","masked","28123",">950",">950"
"64","Timaru District","South Canterbury","masked","38690","41495",">950","932"
"65","Mackenzie District","South Canterbury","3912","3853","4150","943","928"
"66","Waimate District","South Canterbury","6540","6408","7043","929","910"
"67","Chatham Islands Territory","Canterbury","masked","masked","244",">950",">950"
"68","Waitaki District","Southern","18387","18021","19611","938","919"
"69","Central Otago District","Southern","masked","masked","20091",">950",">950"
"70","Queenstown-Lakes District","Southern","masked","masked","37647",">950",">950"
"71","Dunedin City","Southern","masked","masked","110626",">950",">950"
"72","Clutha District","Southern","14255","13929","15166","940","918"
"73","Southland District","Southern","23418","22943","25147","931","912"
"74","Gore District","Southern","10069","9861","10823","930","911"
"75","Invercargill City","Southern","masked","43225","46184",">950","936"
"76","Auckland","Area outside District Health Board","20 or less","20 or less","masked","500","500"
"76","Auckland","Auckland","masked","masked","413025",">950",">950"
"76","Auckland","Counties Manukau","masked","431037","456521",">950","944"
"76","Auckland","Waitemata","masked","masked","519062",">950",">950"
"999","Area Outside Territorial Authority","Area outside District Health Board","20 or less","20 or less","masked",">950",">950"
